Area;Regione;Prov;Cap;2023_1_SUP_NORM;2023_2_SUP_NORM;2023_3_SUP_NORM;2023_4_SUP_NORM;2024_1_SUP_NORM;2024_2_SUP_NORM;2024_3_SUP_NORM;2024_4_SUP_NORM
Sud;Puglia;FG;NonCap;12005,062;12949,331;10527,348;16377,94;12354,329;12322,911;10731,986;16399,668
Sud;Puglia;LE;cap;4159,14;3920,694;3177,624;4361,81;3666,1;4009,28;3216,57;3740,18
Sud;Puglia;LE;NonCap;10931,332;11565,003;9903,608;12037,762;11447,681;11022,135;9579,868;11597,805
Sud;Puglia;TA;cap;1912,58;2035,1;1509,9;2268,541;2327,47;2441,238;2449,746;2631,739
Sud;Puglia;TA;NonCap;5578,98;5986,098;6159,97;6599,63;5991,383;5608,99;6056,71;7834,83
Isole;Sardegna;CA;cap;3114,67;2637,65;2635,169;3596,761;3555,62;4539,16;3499,28;4996,8
Isole;Sardegna;CA;NonCap;5645,71;6754,87;5365,15;6123,85;4984,48;6253,09;5303,638;6963,86
Isole;Sardegna;NU;cap;501;299,75;422;283,5;434,4;344,4;392,7;806,592
Isole;Sardegna;NU;NonCap;1750,075;2179,56;2058,71;2659,7;2061,901;2579,39;2036,39;2455,65
Isole;Sardegna;OR;cap;316,6;386,96;475,71;262,6;250,9;564,08;267,37;344
Isole;Sardegna;OR;NonCap;668,4;532,28;453,3;577,03;585,15;372,13;595,59;433,04
Isole;Sardegna;SS;cap;3355,53;3239;3076,51;3459,94;3124,09;3303,57;3360,02;3924,678
Isole;Sardegna;SS;NonCap;10021,204;10756,708;9965,105;12183,09;9901,24;10702,14;9076,625;11900,92
Isole;Sicilia;AG;cap;378;337,51;328,3;208;301,5;416,8;396,35;512,9
Isole;Sicilia;AG;NonCap;2053,5;3335,24;2740,814;2575,802;2407,394;2542,422;3178,44;3166,942
Isole;Sicilia;CL;cap;972,21;1149,05;499,3;620,94;837,91;869,16;798,5;930,1
Isole;Sicilia;CL;NonCap;1829,235;1625,132;2513,95;2317,21;1729,31;2313,789;1634,694;2491,069
Isole;Sicilia;CT;cap;5665,37;6117,05;5818,68;7407,99;5721,72;5952,12;5501,77;7010,67
