Area;Regione;Prov;Cap;2023_1_SUP_NORM;2023_2_SUP_NORM;2023_3_SUP_NORM;2023_4_SUP_NORM;2024_1_SUP_NORM;2024_2_SUP_NORM;2024_3_SUP_NORM;2024_4_SUP_NORM
Sud;Puglia;BR;NonCap;80288,5;87811,15;76557,06;88756,665;76842,91;83244,16;70358,68;85567,14
Sud;Puglia;FG;cap;35200,57;35274,41;32008,22;37327,55;31039,58;41975,505;36004,95;45727,42
Sud;Puglia;FG;NonCap;121475,74;126805,76;109620,875;149719,985;120001,37;118592,325;104533,98;147630,56
Sud;Puglia;LE;cap;47605,77;47911,595;36695,34;45262,095;40941,56;43794,52;36803,3;42697,43
Sud;Puglia;LE;NonCap;182903,32;198956,175;172239,84;210148,44;182616,82;186412,035;172891,6;214245,55
Sud;Puglia;TA;cap;51129,69;53331,98;49633,39;57865,27;47219,84;58968,14;51774,88;63249,52
Sud;Puglia;TA;NonCap;102160,39;110623,13;92722,905;105526,175;87142,545;100025,1;95885,77;113346,39
Isole;Sardegna;CA;cap;42739,72;42457,93;41988,79;56099,48;40814,135;51349,63;41548,505;56610,22
Isole;Sardegna;CA;NonCap;156746,16;161407,14;150354,06;176227,405;132802,48;170758,335;140666,93;182772,78
Isole;Sardegna;NU;cap;8244,86;6637,64;5729,52;8879,23;5389,32;7932,32;6984,66;9707,51
Isole;Sardegna;NU;NonCap;43559,1;55892,11;47440,3;60055,195;50241,47;57776,55;51649,185;66892,595
Isole;Sardegna;OR;cap;10291,9;10254,74;11840,65;13835,18;9819,87;9906,76;6983,56;10311,05
Isole;Sardegna;OR;NonCap;27017,56;28761,33;29575,52;34883,29;30110,22;30004,225;24979,21;40059,75
Isole;Sardegna;SS;cap;35271,61;36896,14;31463,45;38287,62;29874,5;34270,58;31112,63;37132,56
Isole;Sardegna;SS;NonCap;128718,87;143073,245;115487,475;147795,285;123796,905;136352,845;115625,92;150513,075
Isole;Sicilia;AG;cap;21197,99;20862,56;18522,22;19998,61;15008,89;18501,19;16824,81;20289,9
Isole;Sicilia;AG;NonCap;87029,58;84980,48;90933,3;98703,35;73467,09;86844,96;87626,36;96981,05
Isole;Sicilia;CL;cap;18270,46;18093,79;12027,215;17658,93;16202,25;18158,92;17196,89;22276,25
