Area;Regione;Prov;Cap;<= 50_2023_1_NTN;50 -| 85_2023_1_NTN;85 -| 115_2023_1_NTN;115 -| 145_2023_1_NTN;> 145_2023_1_NTN;<= 50_2023_2_NTN;50 -| 85_2023_2_NTN;85 -| 115_2023_2_NTN;115 -| 145_2023_2_NTN;> 145_2023_2_NTN;<= 50_2023_3_NTN;50 -| 85_2023_3_NTN;85 -| 115_2023_3_NTN;115 -| 145_2023_3_NTN;> 145_2023_3_NTN;<= 50_2023_4_NTN;50 -| 85_2023_4_NTN;85 -| 115_2023_4_NTN;115 -| 145_2023_4_NTN;> 145_2023_4_NTN;<= 50_2024_1_NTN;50 -| 85_2024_1_NTN;85 -| 115_2024_1_NTN;115 -| 145_2024_1_NTN;> 145_2024_1_NTN;<= 50_2024_2_NTN;50 -| 85_2024_2_NTN;85 -| 115_2024_2_NTN;115 -| 145_2024_2_NTN;> 145_2024_2_NTN;<= 50_2024_3_NTN;50 -| 85_2024_3_NTN;85 -| 115_2024_3_NTN;115 -| 145_2024_3_NTN;> 145_2024_3_NTN;<= 50_2024_4_NTN;50 -| 85_2024_4_NTN;85 -| 115_2024_4_NTN;115 -| 145_2024_4_NTN;> 145_2024_4_NTN
Nord Est;Emilia-Romagna;FE;cap;40,24;162,15;136,97;61,09;57,08;31,14;174,21;149,24;74,96;58,75;45,05;155,33;132,33;67,68;93;43,23;193,72;150,03;79,63;115,41;21,52;133,97;128,37;53,04;60,82;34,22;163,52;174,67;98,34;84,98;33,89;157,92;132,94;70,74;88,24;35,5;189,43;168,12;74,25;106,14
Nord Est;Emilia-Romagna;FE;NonCap;124,78;310,48;177,93;115,73;146,15;143,76;378,07;244,15;134,56;146,41;90,17;239,34;215,13;112,1;150,59;130,33;343,04;272,27;149,5;223,49;117,56;274,93;202,37;99,83;132,15;151,74;363,63;218,92;133,56;175,91;99,09;242,9;199,38;111,5;171,99;135,11;365,24;239,15;152,79;208,23
Nord Est;Emilia-Romagna;FO;cap;30,25;112,23;119,59;63,17;66,62;29,12;100,52;100,34;56,69;67,74;22,5;91,06;87,9;63,25;46,83;39,5;106,55;124,73;77,85;55,55;17,36;81,65;93,02;44,77;48,02;20,56;97,59;107,45;77,69;55,02;22;87,83;101;84,02;62,16;29,11;121,93;149,88;72,17;72,06
Nord Est;Emilia-Romagna;FO;NonCap;75,91;184,98;201,94;120,64;149,52;66,52;201,64;181,29;135,34;132,81;58,74;185,72;185,32;116,44;153,9;75,3;240,81;260,32;178,08;190,54;49,39;189,06;164,99;95,31;138,07;78,36;241,59;210,12;136,56;167,22;66,5;211,56;194,69;115,04;161,32;72,63;308,06;250,46;179,46;207,79
Nord Est;Emilia-Romagna;MO;cap;56,17;170,98;179,87;72,09;70,16;38,07;158,11;207,56;103,08;76,91;43,11;139,77;174,5;67,1;97,16;46,58;185,77;226,45;119,94;112,13;52,24;136,25;158,07;63,84;67,6;45,92;216,86;184,68;115,68;80,92;48,75;131,94;139,48;73,09;64,82;54,5;183,92;220,98;122;106,67
Nord Est;Emilia-Romagna;MO;NonCap;77,34;482,18;522,64;252,85;283,35;93,87;528,01;549,92;309,98;318,84;64,5;457,69;502,66;279,91;298,3;144,5;639,25;650,2;379,58;393,75;89,17;537,99;524,6;284,99;297,13;111,26;595,52;611,29;329,44;352,41;74,62;473,56;557,1;263,15;283,52;122,8;689,24;820,3;433,54;461,79
Nord Est;Emilia-Romagna;PC;cap;36,39;114,1;129,59;52,83;28,61;38;144,75;163,67;61,17;44,01;22,14;107,67;110,34;54,18;57,23;35,33;138,93;126,73;63;50,39;20,65;113,8;103,58;50,2;39,5;26,5;142,66;130;85,5;44,33;21,5;111,92;104;55;50,67;37,15;115,67;156,71;74,72;65,08
Nord Est;Emilia-Romagna;PC;NonCap;24,66;166,07;187,43;110,63;179,22;31,83;178,21;203,68;137;219,35;29,83;112,5;162,71;115,68;188,63;43,22;185,9;273,5;164,82;268,23;24,17;121,18;146,86;117,33;150,13;16,33;138,85;207,43;119,88;235,36;20,18;90,5;163,07;104,27;183,19;81,75;192,91;241,8;151,1;257,04
Nord Est;Emilia-Romagna;PR;cap;76,13;203,75;197,87;84,67;68,35;89;263,57;250,14;101,63;73,2;75,28;235,37;222;93,36;84,66;161,06;307,32;276,02;99,63;75,23;69,07;196,71;179,43;67,35;57;88,35;280,55;250,93;92,25;68,83;60,59;193,35;211,81;64,59;64,67;142,18;374,99;310,06;155,92;109,69
Nord Est;Emilia-Romagna;PR;NonCap;47,01;203,87;231,75;112,08;169,37;34,33;257,27;293,8;169,96;220,98;43,83;279,12;318,99;162,81;211,56;56,45;304,69;325,96;171,23;297,65;47,95;216,82;200,95;105,34;178,59;54,5;217,39;287,38;170,64;212,63;37,01;198,16;242,3;142,77;214,62;71,33;282,84;313,86;174,09;316,35
