Area;Regione;prov;Cap;2011_1;2011_2;2011_3;2011_4;2012_1;2012_2;2012_3;2012_4;2013_1;2013_2;2013_3;2013_4;2014_1;2014_2;2014_3;2014_4;2015_1;2015_2;2015_3;2015_4;2016_1;2016_2;2016_3;2016_4;2017_1;2017_2;2017_3;2017_4;2018_1;2018_2;2018_3;2018_4;2019_1;2019_2;2019_3;2019_4;2020_1;2020_2;2020_3;2020_4;2021_1;2021_2;2021_3;2021_4;2022_1;2022_2;2022_3;2022_4;2023_1;2023_2;2023_3;2023_4;2024_1;2024_2;2024_3;2024_4
Nord Ovest;Piemonte;AL;NonCap;763,08;920,12;825,5;1123,92;653,98;692,94;578,44;639,05;566,79;628,48;523,96;622,41;572,52;637,34;497,79;674,78;548,26;624,38;551,9;684,86;641,5;758,05;643,46;781,11;645,14;826,79;715,11;871,94;675,2;791,58;666,64;873,12;736,19;827,37;794,79;950,52;671,92;648,4;918,31;1195,54;1032,48;1275,75;1056,2;1359,29;1099,92;1229,6;1082,79;1376,65;1041,07;1195,43;1035,42;1376,9;1083,49;1227,99;1040,51;1372,74
Nord Ovest;Piemonte;AT;cap;218,58;238,43;162,92;276,17;148,5;171,52;109,47;172,18;157,17;131,08;126,95;130,33;139,55;177,19;129,67;168,55;121;175,64;154,98;146,59;174,86;204,01;247,25;206,92;156,08;169,88;171,07;196,65;213,01;204,67;177,67;223,93;188,33;248;206,99;229,08;167,25;161,5;247,17;257,77;236,09;244,72;223,75;269,47;312,68;278,95;230,34;327,47;224,2;245,85;185,76;258,01;253,2;276,34;228,07;287,33
Nord Ovest;Piemonte;AT;NonCap;326,88;337,49;314,42;375,18;220,1;265,64;224,29;286,77;201,11;226,7;218,21;266,08;215,37;243,95;265,9;263,28;226,88;254,6;248,53;299,26;276,67;305,96;268,26;303,89;301,45;376,56;325,11;367,49;332,72;395,42;378,68;412,04;339,57;348,61;354,32;413,05;280,59;274,26;397,54;477,79;373,3;540,13;494;667,37;481,61;571,46;465,27;569,2;458,9;444,37;375,15;474,54;376,91;437,14;441,87;554,58
Nord Ovest;Piemonte;BI;cap;155,62;155,25;97;165,73;80,12;93,17;63,25;75,16;80,9;72,34;77,5;81,05;82,97;91,99;57;104,1;79,48;109;91,76;96,01;101,32;136,5;99,63;117,23;94,67;147,32;93,41;145,62;123,34;119,45;112,7;169,25;122,09;136,72;115,38;181,37;126,52;107,46;167,34;170,27;167,6;172,33;137,65;214,15;157,78;215,74;136,41;233,57;172,37;195,78;163,75;192,43;191,22;202,64;164,09;252,5
Nord Ovest;Piemonte;BI;NonCap;276,55;305,36;240,03;341,61;190,9;217,96;202,08;263,19;211,09;249,06;174,42;230,78;200,85;258,93;174,23;213,16;181,95;218,17;178,9;245,88;210,96;269,19;275,64;317,67;272,55;302,09;259,08;348,53;258,93;333,75;274,53;347,38;274,7;339,39;244,67;368,18;225,84;207,73;364,86;404,7;362,83;454,09;356,11;469,46;351,94;498,74;371,41;564,99;439,54;409,55;371,66;531,61;431,62;472,54;417,04;579,34
Nord Ovest;Piemonte;CN;cap;153,18;191,59;175,87;259,74;159,2;160,12;140,14;208,24;122,05;126,42;115,12;140,04;96,03;136,22;105,25;157,14;101,94;141,22;113,8;149,71;132,9;192,76;138,61;160,29;147,7;179,34;172,01;184,94;134,64;180,93;139,33;186,3;145,88;162,84;193,71;198,45;150,31;115,62;144,98;184,83;176,95;182,95;180,99;236,04;170,87;219,86;183,39;202,92;164,43;156,06;119,63;198,17;135,16;190,17;222,96;278,54
Nord Ovest;Piemonte;CN;NonCap;1348;1688,98;1482,2;2101,51;1136,17;1246,49;1043,36;1314,72;1043,6;1150,74;988,65;1224,14;1067,17;1097,35;971,26;1278,01;927,3;1115,81;971,84;1435,19;1131,86;1443,6;1191,15;1558,3;1231,63;1490,01;1313,92;1729,83;1265,86;1504,6;1420,4;1771,09;1303,67;1587,39;1432,61;1879,38;1239,59;1147,52;1637,33;2083,9;1726,44;2109,69;1967,03;2422,39;1913,14;2187,23;1895,01;2254,58;1704,13;1942,27;1614,63;2246,46;1455,7;1819,85;1647,1;2281,31
Nord Ovest;Piemonte;NO;cap;273,82;301,1;225,62;323,32;191;185,94;167,56;206,51;163,05;185,93;157,18;178,23;210,53;229,12;158,45;189,63;191,45;225,7;156,5;254,2;219,12;289,61;304,74;320,32;273,56;321,55;243,33;288,29;273,21;356,28;257,08;358,71;309,62;336,08;267,47;398,78;259,43;297,49;302,07;371,79;378,97;441,72;351,98;416,92;398,33;445;336,56;484,32;390,18;458,38;301,66;439,52;282,98;435,92;315,68;465,37
Nord Ovest;Piemonte;NO;NonCap;585,67;663,54;655,21;666,05;457,09;491,03;431,93;507,19;363,5;434,41;404,54;380,93;366,96;417,98;364,59;436,54;383,9;472,52;454,68;534,59;449,99;599,49;508,76;624,72;554,31;616,56;529,86;725,28;533,99;685,09;521,74;802,65;651,11;744,29;606,45;764,27;541,14;536,16;683,69;918,06;831,92;1029,95;869,49;1049,89;851,77;1058,53;857,17;1081,7;862,13;962,69;801,22;1030,14;832,95;939,23;816,91;1044,11
Nord Ovest;Piemonte;TO;cap;2806,28;3307,32;2406,35;3493,32;2301,29;2610,63;2032,9;2398,83;2065,9;2488,45;1944,06;2076,99;2290,62;2354,95;1960,76;2451;2070,77;2738,46;2270,09;2790,74;2847,3;3403,26;2728,12;3352,19;2979,65;3596,77;2759,57;3619,57;3094,53;3738,96;2890,22;3795,08;3155,89;3697,5;3013,25;3782,83;2670,75;2680,27;2736,64;3786,44;3515,43;4164,83;3257,59;4291,57;3825,97;4446,54;3509,67;4352,02;3555,32;3966,4;3149,04;4215,78;3192,69;3886,42;3451,73;4588,85
Nord Ovest;Piemonte;TO;NonCap;3617,85;4553,32;3574,25;4894,12;3040,96;3412,86;2707,64;3407,72;2547,84;3230,07;2534,29;3059,03;2705,67;3186,61;2486,04;3299,93;2523,8;3272,45;2846,75;3752,38;3099,87;4098,43;3509,13;4479,16;3342,4;4248,75;3514,72;4656,84;3530,36;4485,88;3677,41;4988,42;3681,85;4706,47;3833,14;4780,47;3371,56;3365,6;3980,1;5443,62;4433,25;5890,76;4957,17;6362,35;4924,44;5874,99;4925,73;6073,88;4483,21;4985,85;4086,82;5789,86;4011,68;5196,05;4345,13;5938,13
Nord Ovest;Piemonte;VB;cap;115,66;106,91;80,76;97,33;94,47;73,46;50,63;74,09;89,16;80,5;53,93;68,06;69,22;64,62;57,67;82,96;54,17;86,22;73,67;102,83;100,97;75,84;89,3;105,95;88,36;85,27;81,47;113,5;92,25;100,64;85,23;121,77;109,52;107,59;99,8;106,67;75,19;98,13;125,18;111,66;100,97;126,89;105,62;132,63;140,83;163,64;123,91;160,91;112,58;114,23;116,84;120,43;101,6;83,49;101,35;179,34
Nord Ovest;Piemonte;VB;NonCap;368,11;430,96;360,16;467,07;313,6;330,62;250,55;315,23;270,85;277,38;261,57;343,25;288,67;299,52;244,8;327,43;231,83;301,14;297,42;389,38;287,96;373,46;324,35;339,03;344,82;367,35;332,94;420,28;335,95;395,55;357,37;493,62;395,37;393,74;364,19;489,93;304,1;262,92;428,85;532,02;489,85;545,83;528,3;671,45;523,42;670,27;511,16;697,26;489,03;580,03;439,01;606,84;454,87;505,4;444,56;639,32
Nord Ovest;Piemonte;VC;cap;126,5;130,29;102,12;133,83;88,01;102,88;65,59;81,24;80,3;91,42;62,17;78,21;104,08;77,58;77,44;87,67;100,25;102;88,67;86,43;173,78;100,11;94,09;122,8;107,25;147,28;99,92;115,5;107,84;146,83;123,66;129;123,43;164,84;120,92;177,81;132,5;106,83;134,69;157,95;142,5;178,89;143,08;174,01;165;172,83;169,84;241,5;181,57;164,1;155,48;226,61;159,74;200,17;122,66;176,85
Nord Ovest;Piemonte;VC;NonCap;251,91;328,45;230,32;367,49;190,72;234,8;184,3;208,7;202,07;215,2;158,64;193,36;185,8;215,69;210,29;215,4;169,32;227,46;176,01;278,44;231,83;245,78;199,85;281,8;232,34;261,09;230,08;243,65;251,66;312,95;246,85;348,5;273,09;299,87;258,24;372,07;206,75;231,75;341,49;436,31;355,88;468,82;360,24;485,34;411,7;500,92;393,52;458,19;371,08;372,44;343,72;479,87;358,84;443,02;435,22;570,98
Nord Ovest;Valle d'Aosta;AO;cap;63,58;76;74,08;105,41;59,79;72,61;63,5;92,67;60,23;79,58;60,5;58,3;77,17;85,14;63,84;75,19;52,67;70,67;54,42;97,38;75,75;88,28;67,83;93,56;84,83;102,5;103,11;92,84;59,16;89,18;85,8;104,43;82,08;105,83;75,25;90,43;63,38;67,83;75,69;96,84;83,62;95,11;93,22;114,7;104,5;144,71;85,5;122,75;88,51;108,13;90,46;99,08;87;122,5;95,25;104,84
Nord Ovest;Valle d'Aosta;AO;NonCap;347,71;394,01;314,11;496,09;267,11;304,78;261,59;326,91;226,85;333,22;207,57;304,12;193,21;255,15;234,2;324,53;175,84;283,43;235,03;345,87;259,99;352,95;318;385,07;258,82;335,42;282,32;411,08;242,45;348,27;306,39;451,83;415,08;410,7;338,34;449,17;250,71;299,45;380,03;578,91;411,03;529,24;426,78;595,72;448,61;619,39;482,18;562,74;439,99;514,18;353,24;522,58;364,91;497,72;383,92;560,22
Nord Est;Emilia-Romagna;BO;cap;1101,6;1305,37;1007,42;1329,54;878,86;959,28;705,01;977,57;786,6;1038,64;812,93;972,89;1017,79;1146,09;973,01;1151,12;1003,86;1183,28;1037,59;1264,84;1211,6;1592,13;1250,12;1455,54;1265,21;1530,35;1146;1397,6;1233,58;1568,35;1419,39;1699,95;1395,64;1752,31;1440,85;1709,95;1301,83;1258,7;1171,75;1619,3;1495,76;1787,83;1391,15;1886,32;1663,05;1997,7;1480,11;1649,51;1263,7;1543,47;1338,66;1555,95;1241,02;1504,41;1354,21;1688,44
